# PRIOR TO FIXING
Missing track in vital file: 3, {'SNUADC/ART'}
Missing track in vital file: 1450, {'SNUADC/ART'}
Missing track in vital file: 1459, {'SNUADC/ART'}
Missing track in vital file: 1508, {'SNUADC/ART'}
Missing track in vital file: 1524, {'BIS/EEG1_WAV'}
Missing track in vital file: 1576, {'SNUADC/ART'}
Missing track in vital file: 1644, {'SNUADC/ART', 'BIS/EEG1_WAV'}
Missing track in vital file: 1653, {'SNUADC/ART'}
Missing track in vital file: 1677, {'SNUADC/ART'}
Missing track in vital file: 1727, {'SNUADC/ART'}
Missing track in vital file: 1750, {'SNUADC/ART', 'BIS/EEG1_WAV'}
Missing track in vital file: 1754, {'BIS/EEG1_WAV'}
Missing track in vital file: 1772, {'SNUADC/ART'}
Missing track in vital file: 1795, {'SNUADC/ART'}
Missing track in vital file: 1807, {'BIS/EEG1_WAV'}
Missing track in vital file: 1817, {'SNUADC/ART'}
Missing track in vital file: 1857, {'SNUADC/ART'}
Missing track in vital file: 1863, {'SNUADC/ART'}
Missing track in vital file: 1871, {'SNUADC/ART'}
Missing track in vital file: 1880, {'SNUADC/ART'}
Missing track in vital file: 1895, {'SNUADC/ART'}
Missing track in vital file: 1921, {'SNUADC/ECG_II', 'SNUADC/ART'}
Missing track in vital file: 1939, {'BIS/EEG1_WAV'}
Missing track in vital file: 1946, {'SNUADC/ART'}
Missing track in vital file: 1968, {'SNUADC/ART'}
Missing track in vital file: 1980, {'SNUADC/ART'}
Missing track in vital file: 2016, {'SNUADC/ART'}
Missing track in vital file: 2103, {'SNUADC/ART'}
Missing track in vital file: 2124, {'SNUADC/ART'}
Missing track in vital file: 2126, {'SNUADC/ART'}
Missing track in vital file: 2138, {'SNUADC/ART'}
Missing track in vital file: 2164, {'SNUADC/ART'}
Missing track in vital file: 2181, {'SNUADC/ART'}
Missing track in vital file: 2182, {'SNUADC/ART'}
Missing track in vital file: 2186, {'BIS/EEG1_WAV'}
Missing track in vital file: 2203, {'SNUADC/ART'}
Missing track in vital file: 2212, {'SNUADC/ART'}
Missing track in vital file: 2245, {'SNUADC/ART'}
Missing track in vital file: 2314, {'SNUADC/ART'}
Missing track in vital file: 2367, {'SNUADC/ART'}
Missing track in vital file: 2513, {'SNUADC/ART'}
Missing track in vital file: 2548, {'SNUADC/ART'}
Missing track in vital file: 2573, {'SNUADC/ART'}
Missing track in vital file: 2602, {'BIS/EEG1_WAV'}
Missing track in vital file: 2604, {'SNUADC/ART'}
Missing track in vital file: 2702, {'SNUADC/ART'}
Missing track in vital file: 2733, {'BIS/EEG1_WAV'}
Missing track in vital file: 2752, {'SNUADC/ART', 'BIS/EEG1_WAV'}
Missing track in vital file: 2857, {'SNUADC/ART', 'BIS/EEG1_WAV'}
Missing track in vital file: 2869, {'SNUADC/ART'}
Missing track in vital file: 2946, {'SNUADC/ART'}
Missing track in vital file: 2969, {'SNUADC/ART'}
Missing track in vital file: 3005, {'SNUADC/ART'}
Missing track in vital file: 3012, {'SNUADC/ART'}
Missing track in vital file: 3036, {'SNUADC/ART'}
Missing track in vital file: 3055, {'SNUADC/ART'}
Missing track in vital file: 3069, {'BIS/EEG1_WAV'}
Missing track in vital file: 3190, {'SNUADC/ART'}
Missing track in vital file: 3234, {'SNUADC/ART'}
Missing track in vital file: 3455, {'SNUADC/ART'}
Missing track in vital file: 3456, {'SNUADC/ART'}
Missing track in vital file: 3474, {'SNUADC/ART'}
Missing track in vital file: 3489, {'SNUADC/ART'}
Missing track in vital file: 3552, {'SNUADC/ART'}
Missing track in vital file: 3561, {'SNUADC/ART'}
Missing track in vital file: 3684, {'SNUADC/ART'}
Missing track in vital file: 3808, {'SNUADC/ART'}
Missing track in vital file: 3838, {'SNUADC/ART'}
Missing track in vital file: 3939, {'SNUADC/ART'}
Missing track in vital file: 3996, {'SNUADC/ART'}
Missing track in vital file: 4039, {'SNUADC/ART'}
Missing track in vital file: 4175, {'BIS/EEG1_WAV'}
Missing track in vital file: 4199, {'SNUADC/ART'}
Missing track in vital file: 4221, {'BIS/EEG1_WAV'}
Missing track in vital file: 4229, {'SNUADC/ART'}
Missing track in vital file: 4261, {'BIS/EEG1_WAV'}
Missing track in vital file: 4266, {'BIS/EEG1_WAV'}
Missing track in vital file: 4527, {'BIS/EEG1_WAV'}
Missing track in vital file: 4567, {'SNUADC/ART'}
Missing track in vital file: 4601, {'SNUADC/ART'}
Missing track in vital file: 4682, {'SNUADC/ART'}
Missing track in vital file: 4694, {'BIS/EEG1_WAV'}
Missing track in vital file: 4736, {'SNUADC/ART'}
Missing track in vital file: 4766, {'SNUADC/ART'}
Missing track in vital file: 4772, {'SNUADC/ART'}
Missing track in vital file: 4795, {'BIS/EEG1_WAV'}
Missing track in vital file: 4845, {'SNUADC/ART'}
Missing track in vital file: 4900, {'SNUADC/ART'}
Missing track in vital file: 4940, {'SNUADC/ART'}
Missing track in vital file: 4963, {'SNUADC/ART'}
Missing track in vital file: 5009, {'SNUADC/ART'}
Missing track in vital file: 5023, {'SNUADC/ART'}
Missing track in vital file: 5055, {'SNUADC/ART'}
Missing track in vital file: 5082, {'SNUADC/ART', 'BIS/EEG1_WAV'}
Missing track in vital file: 5127, {'BIS/EEG1_WAV'}
Missing track in vital file: 5146, {'SNUADC/ART'}
Missing track in vital file: 5165, {'SNUADC/ART'}
Missing track in vital file: 5212, {'BIS/EEG1_WAV'}
Missing track in vital file: 5239, {'SNUADC/ART'}
Missing track in vital file: 5279, {'SNUADC/ART'}
Missing track in vital file: 5282, {'BIS/EEG1_WAV'}
Missing track in vital file: 5326, {'SNUADC/ART'}
Missing track in vital file: 5355, {'SNUADC/ART', 'BIS/EEG1_WAV'}
Missing track in vital file: 5358, {'SNUADC/ART'}
Missing track in vital file: 5378, {'SNUADC/ART'}
Missing track in vital file: 5382, {'SNUADC/ART'}
Missing track in vital file: 5407, {'SNUADC/ART'}
Missing track in vital file: 5419, {'SNUADC/ART'}
Missing track in vital file: 5435, {'SNUADC/ART'}
Missing track in vital file: 5452, {'SNUADC/ART'}
Missing track in vital file: 5459, {'SNUADC/ART'}
Missing track in vital file: 5471, {'SNUADC/ART'}
Missing track in vital file: 5512, {'BIS/EEG1_WAV'}
Missing track in vital file: 5528, {'SNUADC/ART'}
Missing track in vital file: 5559, {'SNUADC/ART'}
Missing track in vital file: 5569, {'SNUADC/ART'}
Missing track in vital file: 5596, {'SNUADC/ART'}
Missing track in vital file: 5628, {'SNUADC/ART'}
Missing track in vital file: 5697, {'SNUADC/ART'}
Missing track in vital file: 5735, {'SNUADC/ART'}
Missing track in vital file: 5774, {'BIS/EEG1_WAV'}
Missing track in vital file: 5836, {'SNUADC/ART'}
Missing track in vital file: 5855, {'SNUADC/ART'}
Missing track in vital file: 5867, {'SNUADC/ART'}
Missing track in vital file: 5897, {'SNUADC/ART'}
Missing track in vital file: 5899, {'SNUADC/ART', 'BIS/EEG1_WAV'}
Missing track in vital file: 5931, {'SNUADC/ART'}
Missing track in vital file: 5979, {'SNUADC/ART'}
Missing track in vital file: 6002, {'SNUADC/ART'}
Missing track in vital file: 6011, {'SNUADC/ART'}
Missing track in vital file: 6050, {'SNUADC/ART'}
Missing track in vital file: 6090, {'SNUADC/ART'}
Missing track in vital file: 6120, {'BIS/EEG1_WAV'}
Missing track in vital file: 6145, {'SNUADC/ART'}
Missing track in vital file: 6148, {'SNUADC/ART'}
Missing track in vital file: 6173, {'SNUADC/ART'}
Missing track in vital file: 6222, {'SNUADC/ART'}
Missing track in vital file: 6234, {'SNUADC/ART'}
Missing track in vital file: 6245, {'BIS/EEG1_WAV'}
Missing track in vital file: 6354, {'SNUADC/ART'}
Missing track in vital file: 6374, {'SNUADC/ART'}

Count of cases of interest:           3296
Count of vital files missing tracks:  186


# AFTER FIXING
Missing track in vital file: 489, {'SNUADC/ART'}

Count of cases of interest:           3296
Count of vital files missing tracks:  1
